BOM Level,Level,Row,Item,Component number,Object description,Quantity,Un,Ict,B,Price
"",0.1,1,10,26VS693A-20-VD=1,"FANUC 20K PRO6 ATC60, UPGRADE3_VDR",1,SET,L,,
"",..2,2,10,Z513A0124250,"MDI UNIT (QWERTY TYPE B, 145X400MM)",1,EA,L,,
"",..2,3,20,Z513A0302510,?IPS 30HV - 30IB TYPE,1,EA,L,,
"",..2,4,30,Z513A0302350,"SPM ALPHA SP 30HVi,30i-B SERIES",1,EA,L,,
"",..2,5,40,Z513A0302360,"SVM3 ALPHA SV 40/40/40HVI,30I-B SERIES",1,EA,L,,
"",..2,6,50,Z513A0302370,"SVM ALPHA SV 10HVI,30I-B SERIES",1,EA,L,,
"",..2,7,60,A81L-0001-0191,AC REACTOR FOR ALPHA I PS 30/45HVI 30IB,1,EA,L,,
"",0.1,8,20,GV26-A012=13,"MTC VD_ 20K W/O FANUC , ATC60 (F3/F5)",1,SET,L,,
"",..2,9,10,E21VS690A110-01,MAIN RELAY DCS PCB,1,EA,L,,
"",..2,10,20,E21VS690A101-03,OPTION PCB,1,EA,L,,
"",..2,11,30,Z592T0300020,"T2,2KVA,380-400-415/200-220-230UL(SLIM)",1,EA,L,,
"",..2,12,40,L15C252,"M.I.E TERMINAL BLOCK 1P IN60BK-C 90A,SCL",4,EA,L,,
"",..2,13,50,Z643F1030001,RELAY IDEC RJ2S-CLD-D24,2,EA,L,,
"",..2,14,60,Z643F1040003,RELAY SOCKET IDEC SJ2S-05B,2,EA,L,,
"",..2,15,70,Z697I0140003,WAGO TB 2002-1401 Grey 2.5mm 4W,70,EA,L,,
"",..2,16,80,Z697I0140016,WAGO TB 2002-1407 Y/G 2.5mm 4W,1,EA,L,,
"",..2,17,90,Z697I0140023,"WAGO TB Jumper 2002-410, 10W",2,EA,L,,
"",..2,18,100,Z697I0130004,"WAGO TB Jumper 2002-402, 2W",24,EA,L,,
"",..2,19,110,L15C232,"TERM END PLATE 2002~1492, 4 CONN",16,EA,L,,
